state,time,commodity,country,total_import_values
Alabama,2017,"113 Forestry Products, Nesoi",World Total,"27,675,708"
Alabama,2017,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"2,510,789"
Alabama,2017,211 Oil & Gas,World Total,"2,081,281,463"
Alabama,2017,212 Minerals & Ores,World Total,"120,877,259"
Alabama,2017,311 Food & Kindred Products,World Total,"167,735,700"
Alabama,2017,312 Beverages & Tobacco Products,World Total,"27,451,216"
Alabama,2017,313 Textiles & Fabrics,World Total,"115,252,682"
Alabama,2017,314 Textile Mill Products,World Total,"126,798,029"
Alabama,2017,315 Apparel & Accessories,World Total,"969,854,072"
Alabama,2017,316 Leather & Allied Products,World Total,"281,404,455"
Alabama,2017,321 Wood Products,World Total,"234,694,342"
Alabama,2017,322 Paper,World Total,"151,306,715"
Alabama,2017,"323 Printed Matter And Related Products, Nesoi",World Total,"23,701,312"
Alabama,2017,324 Petroleum & Coal Products,World Total,"32,320,324"
Alabama,2017,325 Chemicals,World Total,"1,323,212,852"
Alabama,2017,326 Plastics & Rubber Products,World Total,"685,822,725"
Alabama,2017,327 Nonmetallic Mineral Products,World Total,"221,875,286"
Alabama,2017,331 Primary Metal Mfg,World Total,"1,721,504,531"
Alabama,2017,"332 Fabricated Metal Products, Nesoi",World Total,"1,430,464,682"
Alabama,2017,"333 Machinery, Except Electrical",World Total,"2,158,095,975"
Alabama,2017,334 Computer & Electronic Products,World Total,"1,549,770,757"
Alabama,2017,"335 Electrical Equipment, Appliances & Components",World Total,"934,533,463"
Alabama,2017,336 Transportation Equipment,World Total,"7,807,202,822"
Alabama,2017,337 Furniture & Fixtures,World Total,"320,034,157"
Alabama,2017,339 Miscellaneous Manufactured Commodities,World Total,"307,901,910"
Alabama,2017,910 Waste And Scrap,World Total,"244,946,728"
Alabama,2017,930 Used Or Second-hand Merchandise,World Total,"9,538,821"
Alabama,2017,980 Goods Returned (exports For Canada Only),World Total,"507,803,932"
Alabama,2017,990 Other Special Classification Provisions,World Total,"7,132,273"
Alabama,2018,111 Agricultural Products,World Total,"18,385,027"
Alabama,2018,112 Livestock & Livestock Products,World Total,"7,808,914"
Alabama,2018,"113 Forestry Products, Nesoi",World Total,"21,622,851"
Alabama,2018,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"3,015,712"
Alabama,2018,211 Oil & Gas,World Total,"2,778,136,508"
